Hospital ID,Postcode,Team type,Routinely admitting acute team,Strategic Clinical Network,Health Board / Trust,Stroke Team,Easting,Northing,Fixed open (1) or closed (-1),Modelled admissions,Modelled admissions
55,PR2 9HT,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Lancashire Teaching Hospitals NHS Foundation Trust,Royal Preston Hospital,353495,433014,1,531.238663642,531.238663642
56,BL9 7TD,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Pennine Acute Hospitals NHS Trust,Fairfield General Hospital; Rochdale Old Road; Bury,383200,411579,,1250.271080697,1250.271080697
57,M6 8HD,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Salford Royal NHS Foundation Trust,Salford Royal Hospital,378637,399030,1,1687.106684994,1687.106684994
58,SK2 7JE,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Stockport NHS Foundation Trust,Stepping Hill Hospital; Poplar Grove; Hazel Grove; Stockport,391316,387445,,1390.483667466,1390.483667466
59,LA14 4LF,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,University Hospitals of Morecambe Bay NHS Foundation Trust,Furness General Hospital,321180,471847,,255.875316314,255.875316314
60,LA1 4RP,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,University Hospitals of Morecambe Bay NHS Foundation Trust,Royal Lancaster Infirmary,347775,461064,,392.544624729,392.544624729
61,SR4 7TP,Routinely admitting team,1,North of England SCN,City Hospitals Sunderland NHS Foundation Trust,Sunderland Royal Hospital,437866,556641,,534.528850692,534.528850692
62,DH1 5TW,Routinely admitting team,1,North of England SCN,County Durham and Darlington NHS Foundation Trust,University Hospital of North Durham,426217,543809,,731.686982648,731.686982648
63,NE9 6SX,Routinely admitting team,1,North of England SCN,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital; Queen Elizabeth Avenue;  Gateshead,426956,560604,,360.655119435,360.655119435
64,NE1 4LP,Routinely admitting team,1,North of England SCN,Newcastle upon Tyne Hospitals NHS Foundation Trust,Royal Victoria Infirmary,424489,565063,1,776.484144851,776.484144851
65,CA2 7HY,Routinely admitting team,1,North of England SCN,North Cumbria University Hospitals NHS Trust,Cumberland Infirmary; Newtown Road; Carlisle,338830,556086,,342.179453659,342.179453659
66,CA28 8JG,Routinely admitting team,1,North of England SCN,North Cumbria University Hospitals NHS Trust,West Cumberland Hospital; Homewood Road; Whitehaven,298940,516115,,276.122621259,276.122621259
67,TS19 8PE,Routinely admitting team,1,North of England SCN,North Tees and Hartlepool NHS Foundation Trust,University Hospitals of North Tees and Hartlepool,442265,521046,,808.626741449,808.626741449
68,NE23 6NZ,Routinely admitting team,1,North of England SCN,Northumbria Healthcare NHS Foundation Trust,Northumbria Specialist Emergency Care Hospital HASU; Northumbrian Road; Cramlington,427587,575599,,912.394179329,912.394179329
69,TS4 3BW,Routinely admitting team,1,North of England SCN,South Tees Hospitals NHS Foundation Trust,James Cook University Hospital; Marton Road; Middlesbrough,450885,517673,1,735.736443644,735.736443644
70,NE34 0PL,Routinely admitting team,1,North of England SCN,South Tyneside NHS Foundation Trust,South Tyneside District Hospital,436591,564288,,278.147351755,278.147351755
71,S75 2EP,Routinely admitting team,1,Yorkshire and The Humber SCN,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital; Gawber Road; Barnsley,433252,407062,,612.227883436,612.227883436
72,BD9 6RJ,Routinely admitting team,1,Yorkshire and The Humber SCN,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary; Duckworth Lane; Bradford,413618,434429,,824.824585417,824.824585417
73,HX3 0PW,Routinely admitting team,1,Yorkshire and The Humber SCN,Calderdale and Huddersfield NHS Foundation Trust,Calderdale Royal Hospital; Salterhebble; Halifax,409504,423164,,586.918752255,586.918752255
74,S44 5BL,Routinely admitting team,1,Yorkshire and The Humber SCN,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal Hospital; Chesterfield Road; Calow; Chesterfield,440141,371188,,483.657497007,483.657497007
75,DN2 5LT,Routinely admitting team,1,Yorkshire and The Humber SCN,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,Doncaster Royal Infirmary; Throne Road; Doncaster,459143,404157,,575.782734535,575.782734535
76,HG2 7SX,Routinely admitting team,1,Yorkshire and The Humber SCN,Harrogate and District NHS Foundation Trust,Harrogate District Hospital,431726,455415,,397.606450968,397.606450968
77,HU3 2JZ,Routinely admitting team,1,Yorkshire and The Humber SCN,Hull and East Yorkshire Hospitals NHS Trust,Hull Royal Infirmary; Anlaby Road; Hull,508378,428777,1,957.444432842,957.444432842
78,LS1 3EX,Routinely admitting team,1,Yorkshire and The Humber SCN,Leeds Teaching Hospitals NHS Trust,Leeds General Infirmary; Great George Street; Leeds,429621,433998,1,1103.4781198,1103.4781198
79,WF1 4DG,Routinely admitting team,1,Yorkshire and The Humber SCN,Mid Yorkshire Hospitals NHS Trust,Pinderfields Hospital,433870,421896,,730.927708721,730.927708721
80,DN15 7BH,Routinely admitting team,1,Yorkshire and The Humber SCN,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Scunthorpe General Hospital,488297,410936,,604.128961457,604.128961457
81,S60 2UD,Routinely admitting team,1,Yorkshire and The Humber SCN,Rotherham NHS Foundation Trust,Rotherham General Hospital; Moorgate Road; Rotherham,443775,390997,,799.262362918,799.262362918
82,S10 2JF,Routinely admitting team,1,Yorkshire and The Humber SCN,Sheffield Teaching Hospitals NHS Foundation Trust,Royal Hallamshire Hospital; Glossop Road; Sheffield,433803,386953,1,574.264186652,574.264186652
83,YO31 8HE,Routinely admitting team,1,Yorkshire and The Humber SCN,York Teaching Hospital NHS Foundation Trust,York Hospital; Wigginton Road; York,460168,452930,,683.599633385,683.599633385
84,KT16 0PZ,Routinely admitting team,1,South East SCN,Ashford and St Peter's Hospitals NHS Foundation Trust,St Peter's Hospital; Guildford Road; Chertsey,502611,165338,,871.39338681,871.39338681
85,RH16 4EX,Routinely admitting team,1,South East SCN,Brighton and Sussex University Hospitals NHS Trust,Princess Royal Hospital; Lewes Road; Haywards Heath,534125,123035,1,388.495163741,388.495163741
86,BN2 5BE,Routinely admitting team,1,South East SCN,Brighton and Sussex University Hospitals NHS Trust,Royal Sussex County Hospital; Eastern Road; Brighton,532654,103901,,387.229707178,387.229707178
87,DA2 8DA,Routinely admitting team,1,South East SCN,Dartford and Gravesham NHS Trust,Darent Valley Hospital; Darent Wood Road; Dartford,557094,173081,,823.559128867,823.559128867
88,CT1 3NG,Routinely admitting team,1,South East SCN,East Kent Hospitals University NHS Foundation Trust,Kent and Canterbury Hospital,615456,156464,,351.290740894,351.290740894
89,CT9 4AN,Routinely admitting team,1,South East SCN,East Kent Hospitals University NHS Foundation Trust,Queen Elizabeth the Queen Mother Hospital; St Peter's Road; Margate,635967,169786,,381.155515694,381.155515694
90,TN24 0LZ,Routinely admitting team,1,South East SCN,East Kent Hospitals University NHS Foundation Trust,William Harvey Hospital,604090,142068,,415.322842792,415.322842792
91,BN21 2UD,Routinely admitting team,1,South East SCN,East Sussex Healthcare NHS Trust,Eastbourne District General Hospital; King's Dr; Eastbourne,560184,101058,,631.209731835,631.209731835
92,KT18 7EG,Routinely admitting team,1,South East SCN,Epsom and St Helier University Hospitals NHS Trust,Epsom Hospital; Dorking; Epsom,520413,159906,,701.316025224,701.316025224
93,GU16 7UJ,Routinely admitting team,1,South East SCN,Frimley Health NHS Foundation Trust,Frimley Park Hospital,487761,158591,,570.214725669,570.214725669
94,ME16 9QQ,Routinely admitting team,1,South East SCN,Maidstone and Tunbridge Wells NHS Trust,Maidstone District General Hospital,573362,155654,,307.759035248,307.759035248
95,TN2 4QJ,Routinely admitting team,1,South East SCN,Maidstone and Tunbridge Wells NHS Trust,Tunbridge Wells Hospital,561472,141407,,381.155515695,381.155515695
96,ME7 5NY,Routinely admitting team,1,South East SCN,Medway NHS Foundation Trust,Medway Maritime Hospital,577004,167601,,391.532259479,391.532259479
97,GU2 7XX,Routinely admitting team,1,South East SCN,Royal Surrey County Hospital NHS Foundation Trust,Royal Surrey County Hospital; Egerton Road; Guildford,497304,150014,,429.242864954,429.242864954
98,RH1 5RH,Routinely admitting team,1,South East SCN,Surrey and Sussex Healthcare NHS Trust,East Surrey Hospital; Canada Avenue; Redhill,528458,148271,,386.470433245,386.470433245
99,PO19 6SE,Routinely admitting team,1,South East SCN,Western Sussex Hospitals NHS Trust,St Richards Hospital,486835,105615,,424.940312647,424.940312647
100,BN11 2DH,Routinely admitting team,1,South East SCN,Western Sussex Hospitals NHS Trust,Worthing Hospital; Lyndhurst Road; Worthing,515386,103181,,519.596463284,519.596463284
101,GL1 3NN,Routinely admitting team,1,South West SCN,Gloucestershire Hospitals NHS Foundation Trust,Gloucestershire Royal Hospital,384117,218670,,729.915343466,729.915343466
102,SN3 6BB,Routinely admitting team,1,South West SCN,Great Western Hospitals NHS Foundation Trust,Great Western Hospital; Marlborough; Swindon,419017,182216,,640.067927751,640.067927751
103,BS10 5NB,Routinely admitting team,1,South West SCN,North Bristol NHS Trust,North Bristol Hospital NHS Trust; Southmead Hospital; Southmead Way; Bristol,358934,177759,1,361.667484685,361.667484685
104,EX31 4JB,Routinely admitting team,1,South West SCN,Northern Devon Healthcare NHS Trust,North Devon District Hospital; Raleigh Park; Barnstaple,256506,134540,,399.378090145,399.378090145
105,PL6 8DH,Routinely admitting team,1,South West SCN,Plymouth Hospitals NHS Trust,Derriford Hospital,249930,59564,1,750.415739723,750.415739723
106,TR1 3LQ,Routinely admitting team,1,South West SCN,Royal Cornwall Hospitals NHS Trust,Royal Cornwall Hospital; Penventinnie Lane; Truro,179581,45313,,752.187378919,752.187378919
107,EX2 5DW,Routinely admitting team,1,South West SCN,Royal Devon and Exeter NHS Foundation Trust,Royal Devon and Exeter Hospital,293730,91869,,597.295496044,597.295496044
108,BA1 3NG,Routinely admitting team,1,South West SCN,Royal United Hospital Bath NHS Trust,Royal United Hospital Bath,372876,165920,,682.840359452,682.840359452
109,SP2 8BJ,Routinely admitting team,1,South West SCN,Salisbury NHS Foundation Trust,Salisbury District Hospital; Odstock Road; Salisbury,414831,127198,,288.271004231,288.271004231
110,TA1 5DA,Routinely admitting team,1,South West SCN,Taunton and Somerset NHS Foundation Trust,Musgrove Park Hospital,321550,124217,,516.812458855,516.812458855
111,TQ2 7AA,Routinely admitting team,1,South West SCN,Torbay and South Devon NHS Foundation Trust,Torbay Hospital,289857,65876,,566.418355986,566.418355986
112,BS2 8HW,Routinely admitting team,1,South West SCN,University Hospitals Bristol NHS Foundation Trust,Bristol Royal Infirmary,358773,173521,,605.14132672,605.14132672
113,BS23 4TQ,Routinely admitting team,1,South West SCN,Weston Area Health NHS Trust,Weston General Hospital; Grange Road; Weston-super-Mare,332406,158585,,466.953470422,466.953470422
114,BA21 4AT,Routinely admitting team,1,South West SCN,Yeovil District Hospital NHS Foundation Trust,Yeovil District Hospital,355505,116348,,461.891644183,461.891644183
115,HP11 2TT,Routinely admitting team,1,Thames Valley SCN,Buckinghamshire Healthcare NHS Trust,Wycombe General Hospital; Queen Alexandra Road; High Wycombe,486386,192694,,490.997145056,490.997145056
116,SL2 4HL,Routinely admitting team,1,Thames Valley SCN,Frimley Health NHS Foundation Trust,Wexham Park Hospital,499011,182419,,502.386254091,502.386254091
117,MK6 5LD,Routinely admitting team,1,Thames Valley SCN,Milton Keynes University Hospital NHS Foundation Trust,Milton Keynes General Hospital,486835,237194,,433.292325955,433.292325955
118,OX16 9AL,Routinely admitting team,1,Thames Valley SCN,Oxford University Hospitals NHS Foundation Trust,Horton General Hospital; Oxford Road; Banbury,445545,239765,,233.856372179,233.856372179
119,OX3 9DU,Routinely admitting team,1,Thames Valley SCN,Oxford University Hospitals NHS Foundation Trust,John Radcliffe Hospital; Headley Way; Oxford,453940,207531,1,521.874285102,521.874285102
120,RG1 5AN,Routinely admitting team,1,Thames Valley SCN,Royal Berkshire NHS Foundation Trust,Royal Berkshire Hospital,472411,172962,,579.072921595,579.072921595
121,DT1 2JY,Routinely admitting team,1,Wessex SCN,Dorset County Hospital NHS Foundation Trust,Dorset County Hospital; Williams Avneue; Dorchester,368541,90463,,316.111048533,316.111048533
122,SO22 5DG,Routinely admitting team,1,Wessex SCN,Hampshire Hospitals NHS Foundation Trust,Royal Hampshire County Hospital; Romsey Road; Winchester,447107,129366,,399.884272765,399.884272765
123,PO30 5TG,Routinely admitting team,1,Wessex SCN,Isle of Wight NHS Trust,St Mary's Hospital; Parkhurst Road;  Newport,449427,90367,,286.752456356,286.752456356
124,BH15 2JB,Routinely admitting team,1,Wessex SCN,Poole Hospital NHS Foundation Trust,Poole Hospital; Longfleet Road; Poole,401994,91374,,545.158685779,545.158685779
125,PO6 3LY,Routinely admitting team,1,Wessex SCN,Portsmouth Hospitals NHS Trust,Queen Alexandra Hospital Portsmouth,465570,106054,,1168.01640433,1168.01640433
126,BH7 7DW,Routinely admitting team,1,Wessex SCN,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,Royal Bournemouth Hospital; Castle Ln E; Bournemouth,412759,94224,,711.692768999,711.692768999
127,SO16 6YD,Routinely admitting team,1,Wessex SCN,University Hospital Southampton NHS Foundation Trust,Southampton General Hospital; Tremona road; Southampton,439793,114993,1,554.776155643,554.776155643
